distance,position,headingChange
20,-150,-65.45447404937846
20,-140,-65.45447404937846
20,-130,-65.45447404937846
20,-120,-65.45447404937846
20,-110,-65.45447404937846
20,-100,-65.45447404937846
20,-90,-65.45447404937846
20,-80,-65.45447404937846
20,-70,-65.45447404937846
20,-60,-65.45447404937846
20,-50,-58.33320634881879
20,-40,-49.99983999948737
20,-30,-40.26299035954576
20,-20,-28.888742715529137
20,-10,-15.588143390657146
20,0,2.6184159660910625E-15
20,10,15.588143390657356
20,20,28.88874271552898
20,30,40.26299035954595
20,40,49.999839999486795
20,50,58.33320634881867
20,60,65.4544740493782
20,70,65.4544740493782
20,80,65.4544740493782
20,90,65.4544740493782
20,100,65.4544740493782
20,110,65.4544740493782
20,120,65.4544740493782
20,130,65.4544740493782
20,140,65.4544740493782
20,150,65.4544740493782
20,160,65.4544740493782
20,170,65.4544740493782
20,180,65.4544740493782
30,-180,-89.99999999999902
30,-170,-89.99999999999902
30,-160,-89.99999999999902
30,-150,-89.99999999999902
30,-140,-89.99999999999902
30,-130,-89.99999999999902
30,-120,-89.99999999999902
30,-110,-89.99999999999902
30,-100,-89.99999999999902
30,-90,-89.99999999999902
30,-80,-85.58127627906882
30,-70,-80.24368390243815
30,-60,-73.84585846153745
30,-50,-66.2158702702693
30,-40,-57.14249142857048
30,-30,-46.36328727272635
30,-20,-33.54809806451548
30,-10,-18.275685517240984
30,0,-1.7473430110233774E-15
30,10,18.27568551724128
30,20,33.54809806451532
30,30,46.36328727272688
30,40,57.14249142857001
30,50,66.21587027026958
30,60,73.84585846153674
30,70,80.24368390243794
30,80,85.58127627906775
30,90,89.9999999999989
30,100,89.9999999999989
30,110,89.9999999999989
30,120,89.9999999999989
30,130,89.9999999999989
30,140,89.9999999999989
30,150,89.9999999999989
30,160,89.9999999999989
30,170,89.9999999999989
30,180,89.9999999999989
40,-180,-114.54552595062032
40,-170,-114.54552595062032
40,-160,-114.54552595062032
40,-150,-114.54552595062032
40,-140,-114.54552595062032
40,-130,-114.54552595062032
40,-120,-114.54552595062032
40,-110,-106.1596371048232
40,-100,-98.01981214391864
40,-90,-89.99999999999902
40,-80,-81.9801878560793
40,-70,-73.84036289517398
40,-60,-65.45447404937846
40,-50,-58.33320634881879
40,-40,-49.99983999948737
40,-30,-40.262990359545746
40,-20,-28.888742715529137
40,-10,-15.588143390657146
40,0,2.6184159660910625E-15
40,10,15.588143390657356
40,20,28.88874271552898
40,30,40.26299035954595
40,40,49.999839999486795
40,50,58.33320634881867
40,60,65.4544740493782
40,70,73.84036289517331
40,80,81.9801878560779
40,90,89.9999999999989
40,100,98.01981214392015
40,110,106.15963710482414
40,120,114.54552595062063
40,130,114.54552595062063
40,140,114.54552595062063
40,150,114.54552595062063
40,160,114.54552595062063
40,170,114.54552595062063
40,180,114.54552595062063
50,-180,-142.6830913033076
50,-170,-142.6830913033076
50,-160,-142.6830913033076
50,-150,-142.6830913033076
50,-140,-132.6317225489587
50,-130,-123.31630499966575
50,-120,-114.54552595062033
50,-110,-106.1596371048232
50,-100,-98.01981214391864
50,-90,-89.99999999999902
50,-80,-81.9801878560793
50,-70,-73.84036289517398
50,-60,-65.45447404937846
50,-50,-56.68369500033211
50,-40,-47.36827745103912
50,-30,-37.316908696689744
50,-20,-26.666524443977075
50,-10,-14.324235500057629
50,0,-2.0057628970018473E-14
50,10,14.324235500057792
50,20,26.666524443977334
50,30,37.31690869668955
50,40,47.3682774510388
50,50,56.68369500033231
50,60,65.4544740493782
50,70,73.84036289517331
50,80,81.9801878560779
50,90,89.9999999999989
50,100,98.01981214392015
50,110,106.15963710482414
50,120,114.54552595062063
50,130,123.31630499966548
50,140,132.63172254895957
50,150,142.68309130330812
50,160,142.68309130330812
50,170,142.68309130330812
50,180,142.68309130330812
60,-180,-179.9999999999993
60,-170,-166.0118443345005
60,-160,-153.70802551233524
60,-150,-142.6830913033076
60,-140,-132.6317225489587
60,-130,-123.31630499966575
60,-120,-114.54552595062033
60,-110,-106.1596371048232
