distance,direction,headingChange
20,-120,-114.54552595062033
20,-110,-106.1596371048232
20,-100,-98.01981214391864
20,-90,-89.99999999999902
20,-80,-81.9801878560793
20,-70,-73.84036289517398
20,-60,-65.45447404937846
20,-50,-56.68369500033211
20,-40,-47.36827745103912
20,-30,-37.316908696689744
20,-20,-26.291974487665616
20,-10,-13.988155665500262
20,0,-1.3105072582675334E-15
20,10,13.988155665500454
20,20,26.291974487665936
20,30,37.31690869668955
20,40,47.3682774510388
20,50,56.68369500033231
20,60,65.4544740493782
20,70,73.84036289517331
20,80,81.9801878560779
20,90,89.9999999999989
20,100,98.01981214392015
20,110,106.15963710482414
20,120,114.54552595062063
20,130,123.31630499966548
20,140,132.63172254895957
20,150,142.68309130330812
20,160,153.708025512333
20,170,166.01184433449825
20,180,179.99999999999903
30,-180,-179.9999999999993
30,-170,-166.0118443345005
30,-160,-153.70802551233524
30,-150,-142.6830913033076
30,-140,-132.6317225489587
30,-130,-123.31630499966575
30,-120,-114.54552595062033
30,-110,-106.1596371048232
30,-100,-98.01981214391864
30,-90,-89.99999999999902
30,-80,-81.9801878560793
30,-70,-73.84036289517398
30,-60,-65.45447404937846
30,-50,-56.68369500033211
30,-40,-47.36827745103912
30,-30,-37.316908696689744
30,-20,-26.291974487665616
30,-10,-13.988155665500262
30,0,-1.3105072582675334E-15
30,10,13.988155665500454
30,20,26.291974487665936
30,30,37.31690869668955
30,40,47.3682774510388
30,50,56.68369500033231
30,60,65.4544740493782
30,70,73.84036289517331
30,80,81.9801878560779
30,90,89.9999999999989
30,100,98.01981214392015
30,110,106.15963710482414
30,120,114.54552595062063
30,130,123.31630499966548
30,140,132.63172254895957
30,150,142.68309130330812
30,160,153.708025512333
30,170,166.01184433449825
30,180,179.99999999999903
40,-180,-179.9999999999993
40,-170,-166.0118443345005
40,-160,-153.70802551233524
40,-150,-142.6830913033076
40,-140,-132.6317225489587
40,-130,-123.31630499966575
40,-120,-114.54552595062033
40,-110,-106.1596371048232
40,-100,-98.01981214391864
40,-90,-89.99999999999902
40,-80,-81.9801878560793
40,-70,-73.84036289517398
40,-60,-65.45447404937846
40,-50,-56.68369500033211
40,-40,-47.36827745103912
40,-30,-37.316908696689744
40,-20,-26.291974487665616
40,-10,-13.988155665500262
40,0,-1.3105072582675334E-15
40,10,13.988155665500454
40,20,26.291974487665936
40,30,37.31690869668955
40,40,47.3682774510388
40,50,56.68369500033231
40,60,65.4544740493782
40,70,73.84036289517331
40,80,81.9801878560779
40,90,89.9999999999989
40,100,98.01981214392015
40,110,106.15963710482414
40,120,114.54552595062063
40,130,123.31630499966548
40,140,132.63172254895957
40,150,142.68309130330812
40,160,153.708025512333
40,170,166.01184433449825
40,180,179.99999999999903
50,-180,-179.9999999999993
50,-170,-166.0118443345005
50,-160,-153.70802551233524
50,-150,-142.6830913033076
50,-140,-132.6317225489587
50,-130,-123.31630499966575
50,-120,-114.54552595062033
50,-110,-106.1596371048232
50,-100,-98.01981214391864
50,-90,-89.99999999999902
50,-80,-81.9801878560793
50,-70,-73.84036289517398
50,-60,-65.45447404937846
50,-50,-56.68369500033211
50,-40,-47.36827745103912
50,-30,-37.316908696689744
50,-20,-26.291974487665616
50,-10,-13.988155665500262
50,0,-1.3105072582675334E-15
50,10,13.988155665500454
50,20,26.291974487665936
50,30,37.31690869668955
50,40,47.3682774510388
50,50,56.68369500033231
50,60,65.4544740493782
50,70,73.84036289517331
50,80,81.9801878560779
50,90,89.9999999999989
50,100,98.01981214392015
50,110,106.15963710482414
50,120,114.54552595062063
50,130,123.31630499966548
50,140,132.63172254895957
50,150,142.68309130330812
50,160,153.708025512333
50,170,166.01184433449825
50,180,179.99999999999903
60,-180,-179.9999999999993
60,-170,-166.0118443345005
60,-160,-153.70802551233524
60,-150,-142.6830913033076
60,-140,-132.6317225489587
60,-130,-123.31630499966575
60,-120,-114.54552595062033
60,-110,-106.1596371048232
60,-100,-98.01981214391864
60,-90,-89.99999999999902
60,-80,-81.9801878560793
60,-70,-73.84036289517398
60,-60,-65.45447404937846
60,-50,-56.68369500033211
60,-40,-47.36827745103912
60,-30,-37.316908696689744
60,-20,-26.291974487665616
60,-10,-13.988155665500262
60,0,-1.3105072582675334E-15
60,10,13.988155665500454
60,20,26.291974487665936
60,30,37.31690869668955
60,40,47.3682774510388
