distance,position,headingChange
70,100,-28.7497599999994
70,110,-28.7497599999994
70,120,-28.7497599999994
70,130,-28.7497599999994
70,140,-28.7497599999994
70,150,-28.7497599999994
70,160,-25.999775999999486
70,170,-13.94723368421022
70,180,-1.3105072582675334E-15
80,-180,-1.3105072582675334E-15
80,-170,-1.3105072582675334E-15
80,-160,-1.3105072582675334E-15
80,-150,-1.3105072582675334E-15
80,-140,-1.3105072582675334E-15
80,-130,-1.3105072582675334E-15
80,-120,-1.3105072582675334E-15
80,-110,-1.3105072582675334E-15
80,-100,-1.3105072582675334E-15
80,-90,-1.3105072582675334E-15
80,-80,-1.3105072582675334E-15
80,-70,-1.3105072582675334E-15
80,-60,-1.3105072582675334E-15
80,-50,-1.3105072582675334E-15
80,-40,-1.3105072582675334E-15
80,-30,-1.3105072582675334E-15
80,-20,-1.3105072582675334E-15
80,-10,-1.3105072582675334E-15
80,0,-1.3105072582675334E-15
80,10,-1.3105072582675334E-15
80,20,-1.3105072582675334E-15
80,30,-1.3105072582675334E-15
80,40,-1.3105072582675334E-15
80,50,-1.3105072582675334E-15
80,60,-1.3105072582675334E-15
80,70,-1.3105072582675334E-15
80,80,-1.3105072582675334E-15
80,90,-1.3105072582675334E-15
80,100,-1.3105072582675334E-15
80,110,-1.3105072582675334E-15
80,120,-1.3105072582675334E-15
80,130,-1.3105072582675334E-15
80,140,-1.3105072582675334E-15
80,150,-1.3105072582675334E-15
80,160,-1.3105072582675334E-15
80,170,-1.3105072582675334E-15
80,180,-1.3105072582675334E-15
90,-180,-1.3105072582675334E-15
90,-170,-1.3105072582675334E-15
90,-160,-1.3105072582675334E-15
90,-150,-1.3105072582675334E-15
90,-140,-1.3105072582675334E-15
90,-130,-1.3105072582675334E-15
90,-120,-1.3105072582675334E-15
90,-110,-1.3105072582675334E-15
90,-100,-1.3105072582675334E-15
90,-90,-1.3105072582675334E-15
90,-80,-1.3105072582675334E-15
90,-70,-1.3105072582675334E-15
90,-60,-1.3105072582675334E-15
90,-50,-1.3105072582675334E-15
90,-40,-1.3105072582675334E-15
90,-30,-1.3105072582675334E-15
90,-20,-1.3105072582675334E-15
90,-10,-1.3105072582675334E-15
90,0,-1.3105072582675334E-15
90,10,-1.3105072582675334E-15
90,20,-1.3105072582675334E-15
90,30,-1.3105072582675334E-15
90,40,-1.3105072582675334E-15
90,50,-1.3105072582675334E-15
90,60,-1.3105072582675334E-15
90,70,-1.3105072582675334E-15
90,80,-1.3105072582675334E-15
90,90,-1.3105072582675334E-15
90,100,-1.3105072582675334E-15
90,110,-1.3105072582675334E-15
90,120,-1.3105072582675334E-15
90,130,-1.3105072582675334E-15
90,140,-1.3105072582675334E-15
90,150,-1.3105072582675334E-15
90,160,-1.3105072582675334E-15
90,170,-1.3105072582675334E-15
90,180,-1.3105072582675334E-15
100,-180,-1.3105072582675334E-15
100,-170,-1.3105072582675334E-15
100,-160,-1.3105072582675334E-15
100,-150,-1.3105072582675334E-15
100,-140,-1.3105072582675334E-15
100,-130,-1.3105072582675334E-15
100,-120,-1.3105072582675334E-15
100,-110,-1.3105072582675334E-15
100,-100,-1.3105072582675334E-15
100,-90,-1.3105072582675334E-15
100,-80,-1.3105072582675334E-15
100,-70,-1.3105072582675334E-15
100,-60,-1.3105072582675334E-15
100,-50,-1.3105072582675334E-15
100,-40,-1.3105072582675334E-15
100,-30,-1.3105072582675334E-15
100,-20,-1.3105072582675334E-15
100,-10,-1.3105072582675334E-15
100,0,-1.3105072582675334E-15
100,10,-1.3105072582675334E-15
100,20,-1.3105072582675334E-15
100,30,-1.3105072582675334E-15
100,40,-1.3105072582675334E-15
100,50,-1.3105072582675334E-15
100,60,-1.3105072582675334E-15
100,70,-1.3105072582675334E-15
100,80,-1.3105072582675334E-15
100,90,-1.3105072582675334E-15
100,100,-1.3105072582675334E-15
100,110,-1.3105072582675334E-15
